App源码文件路径,行号,函数名称,描述
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,64,aboutToAppear,组件即将显示时触发的生命周期函数
input/app/AdsKit/entry/src/main/ets/pages/Index.ets,75,build,ArkUI 组件的 UI 构建入口函数
input/app/AdsKit/entry/src/main/ets/entryability/EntryAbility.ets,22,onCreate,UIAbility 创建时触发的生命周期函数
input/app/AdsKit/entry/src/main/ets/entryability/EntryAbility.ets,26,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/AdsKit/entry/src/main/ets/entryability/EntryAbility.ets,30,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/AdsKit/entry/src/main/ets/entryability/EntryAbility.ets,43,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/AdsKit/entry/src/main/ets/entryability/EntryAbility.ets,48,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/AdsKit/entry/src/main/ets/entryability/EntryAbility.ets,53,onBackground,UIAbility 切换到后台时触发的生命周期函数
