App源码文件路径,行号,函数名称,描述
input/app/codeLab_API/entry/src/main/ets/pages/Index.ets,10,build,ArkUI 组件的 UI 构建入口函数
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,6,onCreate,UIAbility 创建时触发的生命周期函数
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,10,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,14,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,28,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,33,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/codeLab_API/entry/src/main/ets/entryability/EntryAbility.ets,38,onBackground,UIAbility 切换到后台时触发的生命周期函数
