App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,344,"hilog.info(this.domainId, this.logTag, 'Click protocol url');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,6,import { hilog } from '@kit.PerformanceAnalysisKit';,351,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/pages/QuickLoginPage.ets,8,import { buffer } from '@kit.ArkTS';,172,return JSON.parse(buffer.from(value.buffer).toString())[privacyUrl] as string;,Decodes buf to a string according to the specified character encoding in encoding
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,14,"hilog.info(this.domainId, this.logTag, 'Ability onCreate');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,18,"hilog.info(this.domainId, this.logTag, 'Ability onDestroy');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,22,"hilog.info(this.domainId, this.logTag, 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,28,"hilog.info(this.domainId, this.logTag, 'Succeeded in setting WindowLayoutFullScreen.');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,30,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,36,"hilog.error(this.domainId, this.logTag,",Outputs error-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,40,"hilog.info(this.domainId, this.logTag, 'Succeeded in loading the content.');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,45,"hilog.info(this.domainId, this.logTag, 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,49,"hilog.info(this.domainId, this.logTag, 'Ability onForeground');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/entryability/EntryAbility.ets,5,import { hilog } from '@kit.PerformanceAnalysisKit';,53,"hilog.info(this.domainId, this.logTag, 'Ability onBackground');",Outputs info-level logs.
input/app/AccountKit-QuickLogin/entry/src/main/ets/common/ShowToast.ets,4,import { promptAction } from '@kit.ArkUI';,22,promptAction.showToast({,Displays the notification text.
