App源码文件路径,导入行号,导入代码,调用行号,调用代码,API功能描述
input/app/map-kit_-codelab/entry/src/main/ets/pages/BasicMapDemo.ets,5,"import { MapComponent, mapCommon, map } from '@kit.MapKit';",49,"MapComponent({ mapOptions: this.mapOptions, mapCallback: this.callback }).width('100%').height('100%');",未提取到SDK注释；请在 input/csv/sdk_api_description_override.csv 补充该 API 描述（api=@kit.MapKit.MapComponent）
input/app/map-kit_-codelab/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,8,"hilog.info(0x0000, 'testTag', 'Ability onCreate 1 ', ""hello"");",Outputs info-level logs.
input/app/map-kit_-codelab/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,12,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onDestroy');",Outputs info-level logs.
input/app/map-kit_-codelab/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,17,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageCreate');",Outputs info-level logs.
input/app/map-kit_-codelab/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,21,"hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",Outputs error-level logs.
input/app/map-kit_-codelab/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,24,"hilog.info(0x0000, 'testTag', 'Succeeded in loading the content. Data: %{public}s', JSON.stringify(data) ?? '');",Outputs info-level logs.
input/app/map-kit_-codelab/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,30,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onWindowStageDestroy');",Outputs info-level logs.
input/app/map-kit_-codelab/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,35,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onForeground');",Outputs info-level logs.
input/app/map-kit_-codelab/entry/src/main/ets/entryability/EntryAbility.ets,2,import { hilog } from '@kit.PerformanceAnalysisKit';,40,"hilog.info(0x0000, 'testTag', '%{public}s', 'Ability onBackground');",Outputs info-level logs.
