App源码文件路径,行号,函数名称,描述
input/app/Health_Service_Kit/entry/src/main/ets/pages/AuthIndex.ets,13,build,ArkUI 组件的 UI 构建入口函数
input/app/Health_Service_Kit/entry/src/main/ets/pages/ExerciseSequenceIndex.ets,12,build,ArkUI 组件的 UI 构建入口函数
input/app/Health_Service_Kit/entry/src/main/ets/pages/MainIndex.ets,8,build,ArkUI 组件的 UI 构建入口函数
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,7,onCreate,UIAbility 创建时触发的生命周期函数
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,12,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,16,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,29,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,34,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/Health_Service_Kit/entry/src/main/ets/entryability/EntryAbility.ets,39,onBackground,UIAbility 切换到后台时触发的生命周期函数
