App源码文件路径,行号,函数名称,描述
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/pages/Index.ets,14,build,ArkUI 组件的 UI 构建入口函数
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,13,onCreate,UIAbility 创建时触发的生命周期函数
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,20,onDestroy,UIAbility 销毁时触发的生命周期函数
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,24,onWindowStageCreate,WindowStage 创建时触发的生命周期函数
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,39,onWindowStageDestroy,WindowStage 销毁时触发的生命周期函数
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,44,onForeground,UIAbility 切换到前台时触发的生命周期函数
input/app/IntentsKit-codelab-Clientdemo-ArkTS/entry/src/main/ets/entryability/EntryAbility.ets,49,onBackground,UIAbility 切换到后台时触发的生命周期函数
